prefix;index;duration;
p010137-01-;1;00:23:15;
p010137-01-;2;00:23:44;
p010137-01-;3;00:22:14;
p010137-01-;4;00:25:04;
p010137-01-;5;00:22:31;
p010137-01-;6;00:24:12;
p010137-01-;7;00:24:42;
p010137-01-;8;00:23:13;
p010137-01-;9;00:22:09;
p010137-01-;10;00:22:03;
p010137-01-;11;00:23:44;
p013956-02-;12;00:22:49;
p013956-02-;13;00:26:27;
p013956-02-;14;00:25:27;
p013956-02-;15;00:29:44;
p013956-02-;16;00:26:44;
p013956-02-;17;00:26:02;
p013956-02-;18;00:24:58;
p013956-02-;19;00:27:04;
p013956-02-;20;00:26:49;
p013956-02-;21;00:24:04;
p013956-02-;22;00:25:03;
p013956-02-;23;00:27:32;
p013956-02-;24;00:25:40;
p011149-05-;81;00:16:13;
p011149-05-;82;00:15:00;
p011149-05-;83;00:15:42;
p011149-05-;84;00:17:39;
p011149-05-;85;00:16:21;
p011149-05-;86;00:15:47;
p011149-05-;87;00:16:43;
p011149-05-;88;00:17:17;
p011149-05-;89;00:16:40;
p011149-05-;90;00:17:28;
p011149-05-;91;00:16:15;
p011149-05-;92;00:15:06;
p011149-05-;93;00:15:21;
p011149-05-;94;00:15:56;
p011149-05-;95;00:14:56;
p011149-05-;96;00:17:28;
p011149-05-;97;00:14:35;
p011149-05-;98;00:15:09;
p011149-05-;99;00:16:11;
p011149-05-;100;00:15:17;
p011149-05-;101;00:12:01;
p011149-05-;102;00:13:32;
p011149-05-;103;00:17:49;
p011149-05-;104;00:16:51;
s013392-01-;1;00:47:11;
s013392-01-;2;00:45:53;
s013392-01-;3;00:46:20;
s013392-01-;4;00:51:10;
s013392-01-;5;00:43:50;
s013392-01-;6;00:48:30;
s013392-01-;7;00:50:16;
s013392-01-;8;00:46:36;
s014338-01-;1;00:21:37;
s014338-01-;2;00:26:08;
s014338-01-;3;00:26:21;
s014338-01-;4;00:20:41;
s014338-01-;5;00:22:08;
s014338-01-;6;00:21:37;
s014338-01-;7;00:24:58;
s014338-01-;8;00:25:08;
s014338-01-;9;00:23:20;
s014338-01-;10;00:24:07;
s014338-01-;11;00:24:43;
s014338-01-;12;00:23:12;